id,question,A,B,C,D,solution,category,difficulty
243,What does the notation (R) and (S) represent in organic chemistry?,Absolute configuration of chiral centers,Bond type,Degree of substitution,Bond polarity,A,organic,hard
244,What product is obtained from the ozonolysis of an alkene?,Alcohols,Ketones/aldehydes,Amines,Nitro compounds,B,organic,hard
245,What is a carbanion?,A carbon cation,A neutral radical,An anion with negative charge on carbon,A nitro group,C,organic,hard
246,What does Friedel-Crafts acylation require?,AlCl₃,SOCl₂,NaBH₄,Ag(NH₃)₂⁺,A,organic,hard
247,What happens in the Cannizzaro reaction?,Two aldehyde molecules without alpha hydrogens: one oxidizes and one reduces,A hemiacetal forms,Hydration occurs,A stable carbanion is produced,A,organic,hard
248,Which type of radical is most stable in a radical reaction?,Primary,Secondary,Tertiary,All the same,C,organic,hard
249,What does keto-enol tautomerism describe?,The interconversion between an aldehyde and its cis isomer,The interconversion between keto and enol forms,Phase separation in a solution,None of the above,B,organic,hard
250,What defines a meso compound?,Has a chiral center and high optical activity,Has no chiral centers,Has chiral centers but is optically inactive,Is a compound with an aromatic ring,C,organic,hard
251,What is the main reaction to synthesize primary amines from alkyl halides?,Grignard reaction,Ammonolysis of the halide,Acidic hydration,Friedel-Crafts acylation,B,organic,hard
252,What is acid catalysis in organic reactions?,Use of a strong acid to inhibit the reaction,The acid is consumed in the reaction,The acid protonates intermediates increasing their reactivity,The acid reduces activation energy by donating electrons,C,organic,hard
253,What product is obtained from reacting an ester with excess ammonia?,Amide,Alcohol,Alkyl halide,Ether,A,organic,hard
254,What does Grignard reagent (RMgX) do to a carbonyl?,Oxidizes the ketone,Adds R- to the carbonyl forming an alcohol after hydrolysis,Removes the carbonyl,None,B,organic,hard
255,What characterizes the E₂ (bimolecular elimination) mechanism?,Forms a carbocation intermediate,Second-order overall,Requires strong base and occurs in one step,Only occurs at low temperatures,C,organic,hard
256,What defines a reducing sugar?,Has an aromatic ring,Has a free amino group,Can be oxidized by reagents like Tollens/Benedict,Does not contain a carbonyl,C,organic,hard
257,What is the reaction to form a diacyl compound from an anhydride called?,Chlorination,Transesterification,Acylation,Halogenation,C,organic,hard
258,What happens in the Wolff-Kishner reaction?,Reduction of ketones/aldehydes to alkanes with hydrazine,Oxidation of alcohols to acids,Nucleophilic substitution in halides,None,A,organic,hard
259,What is the conjugate base of phenol?,Phenolate,Phenyl,Aniline,Benzene,A,organic,hard
260,What is formed when an amide is hydrolyzed?,Amine + OH⁻,Carboxylic acid and amine/ammonia,Fatty acid and glycerol,Aldehyde and nitrogen,B,organic,hard
261,What does Birch reduction (benzene with Na and NH₃) do?,Oxidizes aromatic ring to phenol,Produces a diol,Partially reduces the ring to a diene,Substitutes hydrogen with sodium,C,organic,hard
262,What is the iodoform (haloform) test?,Confirms the presence of CH₃CH(OH)- or CH₃C=O-,Detects aromatic rings,Detects double bonds,Confirms secondary alkyl halides,A,organic,hard
263,What is the difference between an enantiomer and a diastereomer?,They are the same,Enantiomers are non-superimposable mirror images; diastereomers are not,Diastereomers are mirror images,None,B,organic,hard
264,What are organometallic compounds?,Substances with metal-oxygen bonds,Substances containing metal-carbon bonds,Substances with alkali metals without carbon,Polymers with metal in the chain,B,organic,hard
265,What does Lucas reagent (ZnCl₂/HCl) do?,Oxidizes ketones to acids,Differentiates tertiary alcohols (fast turbidity reaction),Nitrates aromatic rings,Decarboxylates acids,B,organic,hard
266,What defines aldol condensation?,Joining two aldehydes/ketones with alpha hydrogen to form α-hydroxy aldehyde/ketone,Oxidation of alcohols to aldehydes,Joining an aldehyde and an acid,Intracellular redox reaction,A,organic,hard
267,What is the main reagent for forming diazo compounds (diazotization) in aniline?,H₂/Ni,NaNO₂ + HCl (cold),Br₂/FeBr₃,KMnO₄,B,organic,hard
268,What does the Wittig reaction describe?,Transforming a carbonyl into an alkene using a phosphorus ylide,Hydration of an alkyne,Catalytic hydrogenation,Oxidation of alcohols,A,organic,hard
269,What is the photoisomerization of retinal in the human eye?,A redox change,A cis-trans configuration change upon photon absorption,An enzymatic hydrolysis,None,B,organic,hard
270,What does inorganic chemistry primarily study?,Carbon-containing compounds,Organic compounds,Non-C compounds as the main basis,Only precious metals,C,inorganic,easy
271,What is the metal cation in table salt NaCl?,Na⁺,Cl⁻,K⁺,Ca²⁺,A,inorganic,easy
272,What color does the cupric ion (Cu²⁺) typically present in aqueous solution?,Colorless,Blue,Green,Red,B,inorganic,easy
273,What is the formula for ammonium?,NH₂⁻,NH₃,NH₄⁺,NH₄⁻,C,inorganic,easy
274,What type of compounds do alkali metals form with chlorine?,Oxides,Ionic salts,Peroxides,Covalent halides,B,inorganic,easy
275,Which of these is not a halogen?,F,Cl,Br,O,D,inorganic,easy
276,What oxidation state does sodium have in Na₂O?,1,2,-1,0,A,inorganic,easy
277,Which metal is found in hematite (Fe₂O₃)?,Iron,Copper,Aluminum,Zinc,A,inorganic,easy
278,What are the elements of group 2 of the periodic table called?,Alkali metals,Alkaline earth metals,Halogens,Lanthanides,B,inorganic,easy
279,What is the main use of elemental chlorine?,Fuel,Disinfectant/Bleach,Metallurgy,Refrigerant,B,inorganic,easy
280,What is the compound CaO called?,Quicklime,Slaked lime,Gypsum,Limestone,A,inorganic,easy
281,What does 'amphoteric' indicate in a metal hydroxide?,Acts only as a base,Acts only as an acid,Can act as an acid or a base,Does not react with acids or bases,C,inorganic,easy
282,What is the anion in potassium nitrate (KNO₃)?,K⁺,NO₃⁻,NO₂⁻,N₃⁻,B,inorganic,easy
283,What is FeSO₄ called?,Ferric sulfate,Ferrous sulfate,Ferrous sulfite,Ferric sulfite,B,inorganic,easy
284,Which ions form an ionic bond in MgCl₂?,Mg²⁺ and Cl⁻,Mg⁺ and Cl²⁻,Mg and Cl,None,A,inorganic,easy
285,Which metal is commonly used to protect iron from corrosion by galvanization?,Cu,Ag,Zn,Pb,C,inorganic,easy
286,What is HCl called in water?,Hypochlorous acid,Hydrochloric acid,Hydrogen chloride,Chloric acid,B,inorganic,easy
287,What is the name of the polyatomic ion SO₄²⁻?,Sulfite,Sulfate,Thiosulfate,Sulfide,B,inorganic,easy
288,Which of these compounds is an acidic oxide?,Na₂O,MgO,SO₃,CaO,C,inorganic,easy
289,Which element forms diamond and graphite?,Iron,Carbon,Silicon,Zinc,B,inorganic,easy
290,What type of compound is K₂O?,Metallic oxide,Non-metallic oxide,Peroxide,Anhydride,A,inorganic,easy
291,What is the usual valence of aluminum in Al₂O₃?,1,2,3,4,C,inorganic,easy
292,What ions are produced by the dissociation of NaOH in water?,Na⁻ and OH⁺,Na₂⁺ and O²⁻,Na⁺ and OH⁻,NaO⁻ and H⁺,C,inorganic,easy
293,What is the oxidation number of chlorine in HClO?,1,3,5,7,A,inorganic,easy
294,Which element is found in bauxite, the ore for aluminum?,Fe,Al,Cu,B,inorganic,easy
295,What is the most abundant inert gas in the Earth's atmosphere?,He,Ne,Ar,Kr,C,inorganic,easy
296,What are the elements of group 17 (F, Cl, Br, I) called?,Noble gases,C,inorganic,easy
297,What color is elemental sulfur in solid form?,Black,Transparent,Yellow,Red,C,inorganic,easy
298,Which metal is primarily extracted from cassiterite (SnO₂)?,Lead,Tin,Copper,Mercury,B,inorganic,easy
299,What does 'aq' mean in a formula like H₂SO₄(aq)?,Pure compound,Aqueous solution,Solid state,Undefined,B,inorganic,easy
300,What characterizes coordination compounds?,They have pure covalent bonds,The central metal binds to ligands through coordinate bonds,They are ions with a –2 charge,They are always diamagnetic,B,inorganic,medium
301,What is the complex anion [Fe(CN)₆]⁴⁻ called?,Ferrous,Ferricyanide,Ferrocyanide,Ferric,C,inorganic,medium
302,What is the hybridization of carbon in CO₂?,sp³,sp²,sp,Not hybridized,C,inorganic,medium
303,What does crystal field theory explain?,The energy of d electrons in metal complexes,The solubility of salts,Predicts melting temperatures,Does not describe metal ions,A,inorganic,medium
304,What is the oxidation state of Mn in KMnO₄?,2,4,6,7,D,inorganic,medium
305,What type of solid is sodium chloride?,Molecular,Ionic,Metallic,Network covalent,B,inorganic,medium
306,What is the name of the oxyacid H₃PO₄?,Phosphorous acid,Hypophosphorous acid,Phosphoric acid,Perphosphoric acid,C,inorganic,medium
307,Which element is the most electronegative?,Oxygen,Fluorine,Chlorine,Nitrogen,B,inorganic,medium
308,What is passivation of a metal?,Its immediate melting,Formation of a protective oxide layer,Complete dissolution in acids,Conversion into a salt,B,inorganic,medium
309,What is the name of Fe₂(SO₄)₃?,Iron(II) sulfate,Iron(III) sulfite,Iron(III) sulfate,Ferrous hydroxide,C,inorganic,medium
310,What is the oxidation state of chromium in K₂Cr₂O₇?,2,3,6,7,C,inorganic,medium
311,Which ions form potassium permanganate?,K⁺ and MnO₄⁻,K₂⁺ and MnO₄²⁻,K⁺ and MnO₄²⁻,K⁻ and MnO₄⁺,A,inorganic,medium
312,What is the main compound in marble?,CaCO₃,CaO,Ca(OH)₂,CaSO₄,A,inorganic,medium
313,What product is obtained by thermally decomposing CaCO₃?,Ca(OH)₂,CaO and CO₂,Ca and CO₃,Does not decompose,B,inorganic,medium
314,What type of bond is present in metal oxides?,Polar covalent,Metallic,Ionic,Nonpolar covalent,C,inorganic,medium
315,What is the alloy brass?,Fe and C,Cu and Zn,Cu and Sn,Ag and Cu,B,inorganic,medium
316,What characterizes double salts like alum (KAl(SO₄)₂·12H₂O)?,One cation and one complex anion,Two different cations and one simple anion,Two cations and two anions crystallized together,Do not contain water of crystallization,C,inorganic,medium
317,Which gas is usually released when a metal reacts with a strong acid?,O₂,H₂,Cl₂,SO₂,B,inorganic,medium
318,What is ZnS (zinc blende)?,A hydroxide,An ionic sulfide,A metallic oxide,A metallic halide,B,inorganic,medium
319,What defines the stoichiometry of an inorganic compound?,Reaction rate,Fixed proportion of atoms in its formula,Compound solubility,Crystal structure,B,inorganic,medium
320,What is the reaction of an alkaline earth metal with water called?,Electrolysis,Neutralization,Displacement reaction,Combination reaction,C,inorganic,medium
321,What is the main difference between basic oxides and acidic oxides?,Color,Solubility,Reacts with acids vs reacts with bases,No difference,C,inorganic,medium
322,What forms when NH₃ dissolves in water?,NH₄⁺ and OH⁻,NH₃⁺ and H⁻,NH₂⁻ and H₂O⁺,No reaction,A,inorganic,medium
323,Which metal is chiefly obtained from sphalerite (ZnS)?,Zinc,Lead,Copper,Iron,A,inorganic,medium
324,What is the formula of sodium phosphate?,Na₃PO₄,NaPO₃,Na₂HPO₄,NaH₂PO₄,A,inorganic,medium
325,What is the method called to extract aluminum from molten Al₂O₃ with cryolite?,Haber process,Hall–Héroult process,Ostwald process,Bayer process,B,inorganic,medium
326,What is a polyprotic acid?,An acid with multiple functional groups,An acid capable of donating more than one proton,An acid with metallic bonds,No such concept,B,inorganic,medium
327,"What are nitrogen oxides such as NO, NO₂, N₂O₄ called?",Basic oxides,Halogen anhydrides,Neutral oxides,Acidic oxides,D,inorganic,medium
328,What is the valence of copper in CuSO₄?,1,2,3,–1,B,inorganic,medium
329,Which liquid metal is used in some thermometers?,Silver,Mercury,Lithium,Gold,B,inorganic,medium
330,What does band theory in solids explain?,Electrical conductivity in metals and semiconductors,Solubility of ionic salts,Atomic structure of the nucleus,Color of flames,A,inorganic,hard
